ID_Tarefa   Tempo_Processamento   Tarefas_Prioridade
1           25                   Prioridade: [2, 3]
2           17                   Nenhuma
3           20                   Prioridade: [4, 5]
4           12                   Nenhuma
5           28                   Prioridade: [6]
6           16                   Nenhuma
7           22                   Nenhuma
8           15                   Prioridade: [9]
9           18                   Nenhuma
10          30                   Prioridade: [11]
11          19                   Nenhuma
12          23                   Prioridade: [13]
13          11                   Nenhuma
14          27                   Nenhuma
15          14                   Prioridade: [16]
16          21                   Nenhuma
17          17                   Prioridade: [18]
18          24                   Nenhuma
19          26                   Prioridade: [20]
20          19                   Nenhuma
21          13                   Prioridade: [22]
22          10                   Nenhuma
23          15                   Prioridade: [24]
24          28                   Nenhuma
25          22                   Prioridade: [26]
26          18                   Nenhuma
27          21                   Prioridade: [28]
28          30                   Nenhuma
29          23                   Prioridade: [30]
30          17                   Nenhuma
31          25                   Prioridade: [32]
32          20                   Nenhuma
33          22                   Prioridade: [34]
34          16                   Nenhuma
35          18                   Prioridade: [36]
36          12                   Nenhuma
37          26                   Prioridade: [38]
38          14                   Nenhuma
39          27                   Prioridade: [40]
40          11                   Nenhuma
